id,Geographic Area Name,Estimate!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars)
1400000US53033030313,"Census Tract 303.13, King County, Washington",47297,52421
1400000US53033030314,"Census Tract 303.14, King County, Washington",41359,55457
1400000US53033030401,"Census Tract 304.01, King County, Washington",82955,92197
1400000US53033030403,"Census Tract 304.03, King County, Washington",79394,94161
1400000US53033030404,"Census Tract 304.04, King County, Washington",96489,103357
1400000US53033030501,"Census Tract 305.01, King County, Washington",30756,50675
1400000US53033030503,"Census Tract 305.03, King County, Washington",48019,59261
1400000US53033030504,"Census Tract 305.04, King County, Washington",60558,66707
1400000US53033030600,"Census Tract 306, King County, Washington",63516,74468
1400000US53033030700,"Census Tract 307, King County, Washington",50191,68972
1400000US53033030801,"Census Tract 308.01, King County, Washington",46496,53949
1400000US53033030802,"Census Tract 308.02, King County, Washington",50926,64232
1400000US53033030901,"Census Tract 309.01, King County, Washington",70234,82073
1400000US53033030902,"Census Tract 309.02, King County, Washington",59924,70862
1400000US53033031000,"Census Tract 310, King County, Washington",114792,131822
1400000US53033031100,"Census Tract 311, King County, Washington",64802,76570
1400000US53033031202,"Census Tract 312.02, King County, Washington",96667,117504
1400000US53033031204,"Census Tract 312.04, King County, Washington",90781,122441
1400000US53033031205,"Census Tract 312.05, King County, Washington",82917,92009
1400000US53033031206,"Census Tract 312.06, King County, Washington",75649,82440
1400000US53033031301,"Census Tract 313.01, King County, Washington",75476,88762
1400000US53033031302,"Census Tract 313.02, King County, Washington",51559,73063
1400000US53033031400,"Census Tract 314, King County, Washington",59833,75583
1400000US53033031501,"Census Tract 315.01, King County, Washington",92279,112793
1400000US53033031502,"Census Tract 315.02, King County, Washington",77593,95868
1400000US53033031601,"Census Tract 316.01, King County, Washington",109764,126512
1400000US53033031603,"Census Tract 316.03, King County, Washington",110139,117019
1400000US53033031604,"Census Tract 316.04, King County, Washington",97041,107887
1400000US53033031605,"Census Tract 316.05, King County, Washington",104883,129234
1400000US53033031703,"Census Tract 317.03, King County, Washington",95313,130502
1400000US53033031704,"Census Tract 317.04, King County, Washington",102639,112424
1400000US53033031705,"Census Tract 317.05, King County, Washington",110551,121452
1400000US53033031706,"Census Tract 317.06, King County, Washington",88791,104192
1400000US53033031800,"Census Tract 318, King County, Washington",112050,132627
1400000US53033031903,"Census Tract 319.03, King County, Washington",115493,141015
1400000US53033031904,"Census Tract 319.04, King County, Washington",99722,122578
1400000US53033031906,"Census Tract 319.06, King County, Washington",104330,122245
1400000US53033031907,"Census Tract 319.07, King County, Washington",95658,105645
1400000US53033031908,"Census Tract 319.08, King County, Washington",76978,87353
1400000US53033031909,"Census Tract 319.09, King County, Washington",108256,115576
1400000US53033032002,"Census Tract 320.02, King County, Washington",98274,104638
1400000US53033032003,"Census Tract 320.03, King County, Washington",110063,133350
1400000US53033032005,"Census Tract 320.05, King County, Washington",96250,104629
1400000US53033032006,"Census Tract 320.06, King County, Washington",95408,112740
1400000US53033032007,"Census Tract 320.07, King County, Washington",105268,129464
1400000US53033032008,"Census Tract 320.08, King County, Washington",97688,107325
1400000US53033032010,"Census Tract 320.10, King County, Washington",119466,122307
1400000US53033032011,"Census Tract 320.11, King County, Washington",118548,126784
1400000US53033032102,"Census Tract 321.02, King County, Washington",113651,130587
1400000US53033032103,"Census Tract 321.03, King County, Washington",79073,92066
1400000US53033032104,"Census Tract 321.04, King County, Washington",102806,120321
1400000US53033032203,"Census Tract 322.03, King County, Washington",149743,189413
1400000US53033032207,"Census Tract 322.07, King County, Washington",168068,224199
1400000US53033032208,"Census Tract 322.08, King County, Washington",106971,134148
1400000US53033032210,"Census Tract 322.10, King County, Washington",124252,141669
1400000US53033032211,"Census Tract 322.11, King County, Washington",152059,172047
1400000US53033032212,"Census Tract 322.12, King County, Washington",149385,176050
1400000US53033032213,"Census Tract 322.13, King County, Washington",176389,204081
1400000US53033032214,"Census Tract 322.14, King County, Washington",176375,216525
1400000US53033032215,"Census Tract 322.15, King County, Washington",217574,247618
1400000US53033032307,"Census Tract 323.07, King County, Washington",127434,179409
1400000US53033032309,"Census Tract 323.09, King County, Washington",118770,125454
1400000US53033032311,"Census Tract 323.11, King County, Washington",133603,186432
1400000US53033032313,"Census Tract 323.13, King County, Washington",119250,128232
1400000US53033032315,"Census Tract 323.15, King County, Washington",149688,179221
1400000US53033032316,"Census Tract 323.16, King County, Washington",166591,206550
1400000US53033032317,"Census Tract 323.17, King County, Washington",170063,195159
1400000US53033032318,"Census Tract 323.18, King County, Washington",180761,193081
1400000US53033032319,"Census Tract 323.19, King County, Washington",72569,89787
1400000US53033032320,"Census Tract 323.20, King County, Washington",161806,212058
1400000US53033032321,"Census Tract 323.21, King County, Washington",210341,253620
1400000US53033032322,"Census Tract 323.22, King County, Washington",176607,206504
1400000US53033032323,"Census Tract 323.23, King County, Washington",147525,186263
1400000US53033032324,"Census Tract 323.24, King County, Washington",106855,129635
1400000US53033032325,"Census Tract 323.25, King County, Washington",106197,128697
1400000US53033032326,"Census Tract 323.26, King County, Washington",165000,226090
1400000US53033032327,"Census Tract 323.27, King County, Washington",108080,145792
1400000US53033032328,"Census Tract 323.28, King County, Washington",165425,213544
1400000US53033032329,"Census Tract 323.29, King County, Washington",146596,196221
1400000US53033032401,"Census Tract 324.01, King County, Washington",119813,145092
1400000US53033032402,"Census Tract 324.02, King County, Washington",142738,147135
1400000US53033032500,"Census Tract 325, King County, Washington",104583,134709
1400000US53033032601,"Census Tract 326.01, King County, Washington",104776,117687
1400000US53033032602,"Census Tract 326.02, King County, Washington",150943,170605
1400000US53033032702,"Census Tract 327.02, King County, Washington",107044,145622
1400000US53033032703,"Census Tract 327.03, King County, Washington",100260,110769
1400000US53033032704,"Census Tract 327.04, King County, Washington",102348,114721
1400000US53033032800,"Census Tract 328, King County, Washington",92377,123235
1400000US53033990100,"Census Tract 9901, King County, Washington",,
